t (s)	ag (m/s^2)
19.1	0.0001155
19.12	-0.0001129
19.14	0.0001156
19.16	-0.00014
19.18	0.0001219
19.2	-0.000127
19.22	0.000108
19.24	-0.0001077
19.26	0.0001195
19.28	-0.0001244
19.3	0.0001011
19.32	-0.0001246
19.34	0.0001163
19.36	-0.0001404
19.38	0.0001425
19.4	-0.0001403
19.42	0.0001186
19.44	-0.0001196
19.46	0.0000948
19.48	-0.0001153
19.5	0.000112
19.52	-0.0001336
19.54	0.0001128
19.56	-0.0001343
19.58	0.0001409
19.6	-0.0001435
19.62	0.0001366
19.64	-0.0001292
19.66	0.0001219
19.68	-0.0001338
19.7	0.0001177
19.72	-0.0001269
19.74	0.0001283
19.76	-0.0001507
19.78	0.0001211
19.8	-0.0001282
19.82	0.0001302
19.84	-0.0001379
19.86	0.000139
19.88	-0.0001437
19.9	0.0001263
19.92	-0.0001296
19.94	0.0001257
19.96	-0.0001411
19.98	0.0001301
20	-0.0001411
20.02	0.0001315
20.04	-0.0001451
20.06	0.0001349
20.08	-0.0001471
20.1	0.0001296
20.12	-0.0001457
20.14	0.0001384
20.16	-0.0001482
20.18	0.0001245
20.2	-0.0001402
20.22	0.0001331
20.24	-0.0001455
20.26	0.0001385
20.28	-0.0001535
20.3	0.000143
20.32	-0.0001532
20.34	0.0001238
20.36	-0.0001439
20.38	0.0001473
20.4	-0.0001561
20.42	0.0001333
20.44	-0.0001534
20.46	0.0001287
20.48	-0.0001296
20.5	0.0001203
20.52	-0.0001626
20.54	0.0001496
20.56	-0.0001691
20.58	0.0001535
20.6	-0.0001607
20.62	0.0001449
20.64	-0.0001522
20.66	0.0001322
20.68	-0.000145
20.7	0.000144
20.72	-0.0001553
20.74	0.0001432
20.76	-0.0001606
20.78	0.0001584
20.8	-0.0001799
20.82	0.0001378
20.84	-0.0001548
20.86	0.0001461
20.88	-0.0001489
20.9	0.0001568
20.92	-0.0001594
20.94	0.0001507
20.96	-0.0001645
20.98	0.0001409
21	-0.0001562
21.02	0.0001572
21.04	-0.0001712
21.06	0.0001496
21.08	-0.000169
21.1	0.0001507
21.12	-0.0001659
21.14	0.0001547
21.16	-0.0001742
21.18	0.0001573
21.2	-0.0001779
21.22	0.0001592
21.24	-0.0001706
21.26	0.0001523
21.28	-0.0001687
21.3	0.0001539
21.32	-0.0001715
21.34	0.0001715
21.36	-0.0001696
21.38	0.0001731
21.4	-0.0001748
21.42	0.0001612
21.44	-0.0001695
21.46	0.0001626
21.48	-0.0001821
21.5	0.0001637
21.52	-0.0001854
21.54	0.0001744
21.56	-0.0001789
21.58	0.0001658
21.6	-0.0001717
21.62	0.0001674
21.64	-0.0001927
21.66	0.0001711
21.68	-0.0001786
21.7	0.0001745
21.72	-0.00019
21.74	0.0001646
21.76	-0.0001872
21.78	0.0001707
21.8	-0.0001865
21.82	0.0001839
21.84	-0.00019
21.86	0.0001727
21.88	-0.0002055
21.9	0.0001799
21.92	-0.0001991
21.94	0.0001879
21.96	-0.0001827
21.98	0.0001833
22	-0.0002034
22.02	0.0001755
22.04	-0.0001992
22.06	0.0001781
22.08	-0.0001893
22.1	0.0001897
22.12	-0.0002141
22.14	0.0001823
22.16	-0.0002022
22.18	0.0001847
22.2	-0.0001974
22.22	0.0001969
22.24	-0.0002115
22.26	0.0001888
22.28	-0.0002134
22.3	0.0001981
22.32	-0.0002159
22.34	0.0002
22.36	-0.0002038
22.38	0.0001887
22.4	-0.0002074
22.42	0.0002049
22.44	-0.0002232
22.46	0.0002044
22.48	-0.0002137
22.5	0.000189
22.52	-0.0002144
22.54	0.0001931
22.56	-0.0002201
22.58	0.0002007
22.6	-0.0002171
22.62	0.0002108
22.64	-0.0002251
22.66	0.0002098
22.68	-0.0002474
22.7	0.0002141
22.72	-0.0002399
22.74	0.0002041
22.76	-0.0002103
22.78	0.0002116
22.8	-0.0002357
22.82	0.0002036
22.84	-0.0002136
22.86	0.0002188
22.88	-0.0002354
22.9	0.0002208
22.92	-0.0002394
22.94	0.0002201
22.96	-0.0002396
22.98	0.0002246
23	-0.0002497
23.02	0.0002141
23.04	-0.0002444
23.06	0.0002173
23.08	-0.0002399
23.1	0.0002203
23.12	-0.0002496
23.14	0.0002434
23.16	-0.0002441
23.18	0.0002289
23.2	-0.0002576
23.22	0.0002363
23.24	-0.0002461
23.26	0.0002408
23.28	-0.0002526
23.3	0.0002402
23.32	-0.0002545
23.34	0.0002427
23.36	-0.0002662
23.38	0.0002368
23.4	-0.000261
23.42	0.000253
23.44	-0.0002608
23.46	0.0002426
23.48	-0.0002705
23.5	0.0002618
23.52	-0.0002663
23.54	0.0002526
23.56	-0.0002687
23.58	0.0002567
23.6	-0.0002797
23.62	0.000264
23.64	-0.0002753
23.66	0.0002535
23.68	-0.0002936
23.7	0.0002678
23.72	-0.0002758
23.74	0.0002603
23.76	-0.0002754
23.78	0.0002812
23.8	-0.0002878
23.82	0.0002759
23.84	-0.0003062
23.86	0.0002762
23.88	-0.0002856
23.9	0.0002754
23.92	-0.0003035
23.94	0.0002853
23.96	-0.0003059
23.98	0.0002813
24	-0.0003033
24.02	0.0002908
24.04	-0.0002988
24.06	0.0002915
24.08	-0.0003145
24.1	0.0003023
24.12	-0.0003179
24.14	0.0002885
24.16	-0.0003187
24.18	0.0002979
24.2	-0.0003307
24.22	0.0003059
24.24	-0.0003228
24.26	0.0003025
24.28	-0.0003308
24.3	0.0003046
24.32	-0.0003236
24.34	0.0003224
24.36	-0.0003363
24.38	0.0003236
24.4	-0.000337
24.42	0.000327
24.44	-0.0003423
24.46	0.0003232
24.48	-0.0003413
24.5	0.000339
24.52	-0.0003512
24.54	0.0003444
24.56	-0.0003568
24.58	0.0003405
24.6	-0.0003509
24.62	0.0003472
24.64	-0.0003651
24.66	0.0003601
24.68	-0.0003651
24.7	0.0003587
24.72	-0.0003567
24.74	0.0003579
24.76	-0.0003813
24.78	0.0003759
24.8	-0.000389
24.82	0.0003714
24.84	-0.000378
24.86	0.0003741
24.88	-0.0003897
24.9	0.0003966
24.92	-0.0003995
24.94	0.0003866
24.96	-0.0004037
24.98	0.0003987
